Symbol,Date,DayOfWeek,DayOfYear,Open,High,Low,Close,MacdCurrent,MacdPrevious,SignalCurrent,SignalPrevious,MaCurrent,MaPrevious,
GLD,2023.04.30 23:01,0,120,1990.38,1991.85,1988.40,1989.07,0.25,0.22,-0.35,-0.62,1988.84,1988.79,
GLD,2023.05.01 00:00,1,121,1989.15,1989.17,1986.52,1986.80,0.08,0.25,-0.14,-0.35,1988.47,1988.84,
GLD,2023.05.01 01:00,1,121,1986.83,1987.34,1983.57,1983.90,-0.28,0.08,-0.04,-0.14,1987.64,1988.47,
GLD,2023.05.01 02:00,1,121,1983.91,1984.98,1980.94,1981.88,-0.72,-0.28,-0.05,-0.04,1986.59,1987.64,
GLD,2023.05.01 03:00,1,121,1981.88,1983.70,1981.50,1982.55,-1.01,-0.72,-0.14,-0.05,1985.86,1986.59,
GLD,2023.05.01 04:00,1,121,1982.53,1983.34,1980.54,1983.28,-1.16,-1.01,-0.27,-0.14,1985.39,1985.86,
GLD,2023.05.01 05:00,1,121,1983.29,1986.34,1982.43,1984.03,-1.21,-1.16,-0.41,-0.27,1985.14,1985.39,
GLD,2023.05.01 06:00,1,121,1984.03,1984.06,1979.72,1981.99,-1.39,-1.21,-0.58,-0.41,1984.57,1985.14,
GLD,2023.05.01 07:00,1,121,1981.95,1981.95,1979.39,1979.81,-1.69,-1.39,-0.79,-0.58,1983.70,1984.57,
GLD,2023.05.01 08:00,1,121,1979.91,1981.25,1978.86,1980.84,-1.83,-1.69,-1.02,-0.79,1983.18,1983.70,
GLD,2023.05.01 09:00,1,121,1980.70,1981.20,1977.05,1977.24,-2.20,-1.83,-1.28,-1.02,1982.10,1983.18,
GLD,2023.05.01 10:00,1,121,1977.16,1985.13,1976.97,1984.56,-1.89,-2.20,-1.46,-1.28,1982.55,1982.10,
GLD,2023.05.01 11:00,1,121,1984.57,1988.67,1984.46,1988.48,-1.30,-1.89,-1.52,-1.46,1983.63,1982.55,
GLD,2023.05.01 12:00,1,121,1988.51,1989.86,1986.80,1988.90,-0.80,-1.30,-1.50,-1.52,1984.59,1983.63,
GLD,2023.05.01 13:00,1,121,1988.95,2005.19,1988.16,2003.85,0.80,-0.80,-1.28,-1.50,1988.09,1984.59,
GLD,2023.05.01 14:00,1,121,2003.85,2005.89,1997.13,1997.15,1.50,0.80,-0.98,-1.28,1989.74,1988.09,
GLD,2023.05.01 15:00,1,121,1996.45,1996.45,1982.92,1984.16,1.01,1.50,-0.71,-0.98,1988.72,1989.74,
GLD,2023.05.01 16:00,1,121,1984.18,1985.15,1980.41,1982.87,0.50,1.01,-0.47,-0.71,1987.66,1988.72,
GLD,2023.05.01 17:00,1,121,1982.85,1983.96,1979.81,1981.55,-0.01,0.50,-0.27,-0.47,1986.55,1987.66,
GLD,2023.05.01 18:00,1,121,1981.53,1983.88,1979.82,1982.07,-0.36,-0.01,-0.06,-0.27,1985.73,1986.55,
GLD,2023.05.01 19:00,1,121,1982.07,1983.22,1980.49,1980.63,-0.75,-0.36,0.06,-0.06,1984.81,1985.73,
GLD,2023.05.01 20:00,1,121,1980.70,1981.55,1979.30,1979.73,-1.12,-0.75,0.09,0.06,1983.88,1984.81,
GLD,2023.05.01 21:00,1,121,1979.73,1982.55,1979.66,1982.46,-1.18,-1.12,0.04,0.09,1983.62,1983.88,
GLD,2023.05.01 23:01,1,121,1982.05,1983.20,1981.10,1982.62,-1.20,-1.18,-0.18,0.04,1983.44,1983.62,
GLD,2023.05.02 00:00,2,122,1982.59,1982.86,1980.63,1981.30,-1.30,-1.20,-0.49,-0.18,1983.05,1983.44,
GLD,2023.05.02 01:00,2,122,1981.31,1983.59,1981.22,1982.07,-1.31,-1.30,-0.75,-0.49,1982.87,1983.05,
GLD,2023.05.02 02:00,2,122,1982.05,1985.10,1981.84,1983.08,-1.22,-1.31,-0.94,-0.75,1982.91,1982.87,
GLD,2023.05.02 03:00,2,122,1983.09,1983.21,1981.18,1982.68,-1.17,-1.22,-1.07,-0.94,1982.87,1982.91,
GLD,2023.05.02 04:00,2,122,1982.65,1982.74,1981.35,1982.05,-1.16,-1.17,-1.16,-1.07,1982.72,1982.87,
GLD,2023.05.02 05:00,2,122,1982.03,1982.90,1981.28,1982.14,-1.14,-1.16,-1.20,-1.16,1982.61,1982.72,
GLD,2023.05.02 06:00,2,122,1982.19,1984.22,1981.24,1982.71,-1.06,-1.14,-1.19,-1.20,1982.63,1982.61,
GLD,2023.05.02 07:00,2,122,1982.72,1985.54,1982.12,1984.59,-0.84,-1.06,-1.16,-1.19,1982.99,1982.63,
GLD,2023.05.02 08:00,2,122,1984.61,1985.60,1980.32,1981.20,-0.93,-0.84,-1.13,-1.16,1982.66,1982.99,
